APONTAMENTO apontamento
DE de
SITUAÇÕES-PROBLEMA situações-problema
MAIS mais
RELEVANTES relevante
- -
Acesso acesso
/ /
Inclusão inclusão
ao a_o
Ensino ensino
Superior superior
( (
social social
, ,
PCD pcd
) )
- -
Manutenção manutenção
e e
conservação conservação
predial predial
- -
Infraestrutura infraestrutura
laboratorial laboratorial
e e
ambientes ambiente
de de
ensino ensino
- -
Comunicação comunicação
com com
a o
comunidade comunidade
acadêmica acadêmico
- -
Metodologia metodologia
de de
ensino ensino
, ,
desempenho desempenho
de de
alunos aluno
, ,
evasão evasão
- -
Acesso acesso
e e
transporte transporte
à a_o
Unidade unidade
de de
Ensino ensino
- -
Participação participação
da de_o
comunidade comunidade
e e
sociedade sociedade
