lemma target_count comparison_count target_per_1k comparison_per_1k expected LL %DIFF status
bom 397 71 9.41 0.99 173.06 457.03 162.01 POSKW
avaliar 287 21 6.8 0.29 113.9 437.09 183.53 POSKW
excelente 155 2 3.67 0.03 58.06 288.81 196.99 POSKW
docente 490 241 11.61 3.35 270.32 270.62 110.42 POSKW
discente 418 200 9.9 2.78 228.53 238.2 112.32 POSKW
dimensão 131 3 3.1 0.04 49.55 234.69 194.7 POSKW
institucional 357 153 8.46 2.13 188.59 228.5 119.62 POSKW
política 157 22 3.72 0.31 66.19 199.27 169.61 POSKW
avaliação 285 114 6.75 1.58 147.55 194.9 123.96 POSKW
sugerir 126 11 2.99 0.15 50.66 184.27 180.51 POSKW
acadêmico 433 282 10.26 3.92 264.4 162.84 89.4 POSKW
regular 99 5 2.35 0.07 38.46 161.49 188.49 POSKW
saber 88 6 2.09 0.08 34.76 136.0 184.61 POSKW
missão 129 29 3.06 0.4 58.43 132.8 153.38 POSKW
corpo 169 58 4.0 0.81 83.94 131.8 132.95 POSKW
site 123 30 2.91 0.42 56.58 120.98 149.92 POSKW
diálogo 72 3 1.71 0.04 27.73 120.83 190.45 POSKW
considerar 224 115 5.31 1.6 125.36 117.59 107.4 POSKW
funcionário 181 81 4.29 1.13 96.89 110.86 116.81 POSKW
comunicação 197 96 4.67 1.33 108.35 109.96 111.06 POSKW
melhoria 180 83 4.26 1.15 97.25 106.82 114.82 POSKW
fragilidade 59 2 1.4 0.03 22.56 101.63 192.2 POSKW
afirmar 77 10 1.82 0.14 32.17 100.37 171.68 POSKW
autoavaliação 71 8 1.68 0.11 29.21 96.85 175.19 POSKW
conhecer 75 11 1.78 0.15 31.8 93.61 168.3 POSKW
membro 72 10 1.71 0.14 30.32 91.68 169.86 POSKW
documento 98 26 2.32 0.36 45.85 91.64 146.12 POSKW
forma 179 96 4.24 1.33 101.69 89.01 104.25 POSKW
colegiado 72 11 1.71 0.15 30.69 88.48 167.09 POSKW
divulgação 219 138 5.19 1.92 132.02 86.79 92.02 POSKW
eixo 108 36 2.56 0.5 53.25 86.17 134.56 POSKW
maioria 98 29 2.32 0.4 46.96 85.3 140.82 POSKW
insuficiente 74 15 1.75 0.21 32.91 80.35 157.48 POSKW
