APONTAMENTO apontamento
DE de
SITUAÇÕES-PROBLEMA situações-problema
MAIS mais
RELEVANTES relevante
( (
" "
Escuta escuta
" "
) )
- -
Manutenção manutenção
predial predial
e e
do de_o
ambiente ambiente
de de
ensino ensino
– -
comprometimento comprometimento
da de_o
estrutura estrutura
. .
- -
Redução redução
do de_o
número número
de de
inscrições inscrição
no em_o
Vestibular vestibular
Matutino matutino
. .
- -
Climatização climatização
das de_o
salas sala
de de
aula aula
, ,
laboratórios laboratório
e e
ambientes ambiente
internos interno
– -
equipamentos equipamento
antigos antigo
e e
obsoletos obsoleto
. .
- -
Evasão evasão
escolar escolar
. .
- -
Estrutura estrutura
de de
monitoramento monitoramento
insuficientes insuficiente
- -
câmeras câmera
Internas interno
e e
externas externo
. .
- -
Desconhecimento desconhecimento
do de_o
público público
externo externo
sobre sobre
os o
cursos curso
da de_o
instituição instituição
. .
