Concluímos concluir
que que
boa bom
parte parte
dos de_o
alunos aluno
tiveram ter
algum algum
tipo tipo
de de
dificuldade dificuldade
para para
entender entender
e e
responder responder
as o
questões questão
da de_o
prova prova
. .
Com com
ênfase ênfase
nas em_o
questões questão
especificas especificar
, ,
em em
que que
76 76
% %
dos de_o
alunos aluno
pontuaram pontuar
que que
poucos pouco
enunciados enunciado
se se
apresentaram apresentar
claros claro
e e
objetivos objetivo
. .
Quanto quanto
a o
abordagem abordagem
do de_o
conteúdo conteúdo
, ,
59 59
% %
dos de_o
alunos aluno
tiveram ter
dificuldade dificuldade
de de
entendimento entendimento
. .
Finalizando finalizar
, ,
48 48
% %
dos de_o
respondentes respondente
tiveram ter
acesso acesso
aos a_o
conteúdos conteúdo
, ,
mas mas
não não
aprenderam aprender
( (
pode poder
estar estar
associado associar
as o
respostas resposta
dos de_o
alunos aluno
no em_o
questionário questionário
da de_o
pandemia pandemia
) )
. .
