APONTAMENTO apontamento
DE de
SITUAÇÕES-PROBLEMA situações-problema
MAIS mais
RELEVANTES relevante
- -
Manutenção manutenção
e e
conservação conservação
predial predial
- -
Materiais material
, ,
equipamentos equipamento
e e
mobiliários mobiliário
- -
Infraestrutura infraestrutura
predial predial
( (
espaços espaço
, ,
sistemas sistema
) )
- -
Segurança segurança
pessoal pessoal
e e
patrimonial patrimonial
- -
Infraestrutura infraestrutura
laboratorial laboratorial
e e
ambientes ambiente
de de
ensino ensino
- -
Participação participação
da de_o
comunidade comunidade
e e
sociedade sociedade
- -
Metodologia metodologia
de de
ensino ensino
, ,
desempenho desempenho
de de
alunos aluno
, ,
evasão evasão
- -
Acesso acesso
/ /
Inclusão inclusão
ao a_o
Ensino ensino
Superior superior
( (
social social
, ,
PCD pcd
) )
- -
Redução redução
do de_o
número número
de de
inscrições inscrição
no em_o
Vestibular vestibular
Matutino matutino
. .
