No em_o
que que
tange tanger
ao a_o
levantamento levantamento
das de_o
tendências tendência
, ,
a o
coleta coleta
de de
dados dado
e e
informações informação
foi ser
mais mais
abrangente abrangente
, ,
considerando considerar
oportunidades oportunidade
identificadas identificar
em em
meio meio
a a
setores setor
apoiados apoiar
por por
políticas política
e e
programas programa
nacional nacional
, ,
estadual estadual
e e
regional regional
. .
Além além
dos de_o
instrumentos instrumento
de de
política política
pública público
, ,
foram ser
considerados considerar
estudos estudo
anteriores anterior
sobre sobre
setores setor
portadores portador
de de
futuro futuro
e e
rotas roto
tecnológicas tecnológico
aderentes aderente
ao a_o
contexto contexto
do de_o
Grande grande
ABC abc
. .
