Implantação implantação
novo novo
curso curso
AMS ams
O o
que que
será ser
feito fazer
: :
Em em
parceria parceria
com com
a o
Etec etec
Jorge jorge
Street street
implantar implantar
o o
curso curso
AMS ams
Tecnólogo tecnólogo
em em
Processos processos
Gerenciais gerencial
( (
a a
partir partir
do de_o
curso curso
técnico técnico
de de
Administração administração
) )
Por por
que que
será ser
feito fazer
: :
Ampliar ampliar
vagas vaga
oferecidas oferecer
em em
curso curso
superior alto
utilizando utilizar
salas sala
de de
aula aula
ociosas ocioso
no em_o
período período
matutino matutino
. .
Objetivo objetivo
( (
s s
) )
relacionado relacionar
( (
s s
) )
: :
Aumentar aumentar
a o
eficiência eficiência
, ,
a o
produtividade produtividade
e e
a o
competitividade competitividade
da de_o
instituição instituição
Atender atender
às a_o
demandas demanda
sociais social
e e
do de_o
mercado mercado
de de
trabalho trabalho
. .
Formar formar
profissionais profissional
atualizados atualizar
em em
tecnologias tecnologia
e e
processos processo
produtivos produtivo
, ,
capazes capaz
de de
atuar atuar
no em_o
desenvolvimento desenvolvimento
tecnológico tecnológico
e e
inovação inovação
. .
Meta meta
( (
s s
) )
relacionada relacionar
( (
s s
) )
: :
Ampliar ampliar
as o
inscrições inscrição
para para
o o
vestibular vestibular
em em
5 5
% %
no em_o
ano ano
de de
2023 @card@
. .
Objetivo objetivo
( (
s s
) )
relacionado relacionar
( (
s s
) )
: :
Aumentar aumentar
a o
eficiência eficiência
, ,
a o
produtividade produtividade
e e
a o
competitividade competitividade
da de_o
instituição instituição
Meta meta
( (
s s
) )
relacionada relacionar
( (
s s
) )
: :
Reestruturar reestruturar
e e
otimizar otimizar
a o
rede rede
de de
comunicação comunicação
de de
dados dado
da de_o
unidade unidade
. .
