Comentários comentário
e e
Esclarecimentos esclarecimento
Adicionais adicional
quanto quanto
às a_o
respostas resposta
dos de_o
alunos aluno
ao a_o
Questionário questionário
de de
Percepção percepção
da de_o
Prova prova
: :
É ser
de de
se se
salientar salientar
que que
apesar apesar
de de
todos todo
os o
esforços esforço
para para
conscientização conscientização
dos de_o
alunos aluno
sobre sobre
a o
relevância relevância
da de_o
prova prova
, ,
percebe perceber
-se se
pelas por_o
respostas resposta
a a
este este
questionário questionário
que que
a o
maioria maioria
não não
dedicou dedicar
tempo tempo
e e
esforço esforço
suficientes suficiente
para para
a o
obtenção obtenção
de de
um um
bom bom
resultado resultado
, ,
demonstrando demonstrar
elevado elevado
descomprometimento descomprometimento
, ,
o o
que que
nos nós
leva levar
a a
tomar tomar
providências providência
no em_o
sentido sentido
de de
aprimorar aprimorar
as o
iniciativas iniciativa
da de_o
unidade unidade
para para
conscientizar conscientizar
os o
alunos aluno
de de
todos todo
os o
reflexos reflexo
que que
o o
resultado resultado
do de_o
ENADE enade
produz produzir
para para
o o
curso curso
e e
egressos egresso
. .
