Em em
relação relação
aos a_o
meios meio
de de
comunicação comunicação
utilizados utilizar
pela por_o
Fatec fatec
Diadema diadema
, ,
os o
dados dado
dos de_o
docentes docente
, ,
discentes discente
e e
técnicos técnico
administrativos administrativo
mostram mostrar
que que
os o
sistemas sistema
de de
informação informação
da de_o
Fatec fatec
funcionam funcionar
satisfatoriamente satisfatoriamente
, ,
no em_o
que que
se se
refere referir
a ela
: :
coordenação coordenação
de de
curso curso
, ,
concurso concurso
vestibular vestibular
, ,
resoluções resolução
dos de_o
Colegiados colegiado
( (
Congregação congregação
; ;
Câmara câmara
de de
Ensino ensino
, ,
NDE nde
e e
Colegiado colegiado
de de
curso curso
) )
; ;
pesquisa pesquisa
e e
extensão extensão
; ;
normas norma
acadêmicas acadêmico
, ,
legislação legislação
e e
calendários calendário
; ;
eventos evento
científicos científico
acadêmicos acadêmico
; ;
site site
oficial oficial
da de_o
Fatec fatec
; ;
publicações publicação
nos em_o
murais mural
; ;
boletins boletim
e e
informativos informativo
enviados enviar
por por
e-mail e-mail
; ;
ouvidoria ouvidoria
; ;
SIGA seguir
; ;
caixa caixa
de de
sugestões sugestão
e e
mídias mídia
sociais social
. .
Esta este
dimensão dimensão
foi ser
bem bem
avaliada avaliar
pelos por_o
três três
grupos grupo
, ,
porém porém
nota notar
-se se
que que
cerca cerca
de de
33 33
% %
dos de_o
alunos aluno
não não
sabem saber
responder responder
sobre sobre
as o
resoluções resolução
dos de_o
Colegiados colegiado
, ,
37 37
% %
dos de_o
alunos aluno
não não
souberam saber
responder responder
sobre sobre
a o
ouvidoria ouvidoria
e e
29 29
% %
consideram considerar
nossas nosso
mídias mídia
sociais social
regulares regular
. .
