Dentre dentrar
as o
principais principal
melhorias melhoria
propostas propor
, ,
destacam destacar
-se se
: :
• •
publicar publicar
o o
PDI pdi
internamente internamente
e e
no em_o
site site
da de_o
FATEC fatec
Zona zona
Sul sul
, ,
e e
fazer fazer
reuniões reunião
com com
os o
representantes representante
de de
sala sala
, ,
Núcleos núcleo
Docentes docente
Estruturante estruturante
dos de_o
Cursos curso
( (
NDE nde
) )
e e
Conselhos conselho
de de
Curso curso
( (
CC cc
) )
, ,
para para
maior grande
divulgação divulgação
e e
compreensão compreensão
deste de_este
documento documento
por por
todos todo
; ;
• •
manter manter
os o
cursos curso
de de
nivelamento nivelamento
, ,
reforço reforço
e e
recuperação recuperação
das de_o
disciplinas disciplina
em em
que que
os o
alunos aluno
possuem possuir
maior grande
dificuldade dificuldade
de de
aprendizagem aprendizagem
ou ou
deficiência deficiência
advindas advindas
do de_o
Ensino ensino
Médio médio
; ;
• •
capacitar capacitar
professores professor
nas em_o
metodologias metodologia
ativas ativo
de de
ensino ensino
, ,
melhorar melhorar
os o
equipamentos equipamento
utilizados utilizar
em em
sala sala
de de
aula aula
e e
adequar adequar
as o
propostas proposta
de de
aula aula
às a_o
necessidades necessidade
do de_o
mercado mercado
de de
trabalho trabalho
; ;
• •
promover promover
eventos evento
na em_o
unidade unidade
que que
disseminem disseminar
Ciência ciência
, ,
Tecnologia tecnologia
e e
Inovação inovação
, ,
e e
também também
eventos evento
voltados voltado
à a_o
valorização valorização
da de_o
cultura cultura
e e
arte arte
para para
formação formação
integral integral
de de
nossos nosso
alunos aluno
, ,
além além
de de
incentivar incentivar
sempre sempre
a o
inclusão inclusão
social social
e e
o o
desenvolvimento desenvolvimento
sustentável sustentável
; ;
• •
continuar continuar
a a
incentivar incentivar
o o
diálogo diálogo
, ,
valores valor
éticos ético
e e
democráticos democrático
no em_o
cotidiano cotidiano
das de_o
relações relação
acadêmicas acadêmico
e e
sociais social
que que
ocorrem ocorrer
na em_o
faculdade faculdade
; ;
• •
promover promover
a o
abertura abertura
de de
cursos curso
de de
pós-graduação pós-graduação
lato lato
sensu sensu
na em_o
FATEC fatec
Zona zona
Sul sul
; ;
• •
criar criar
eventos evento
para para
difundir difundir
as o
atividades atividade
de de
ensino ensino
, ,
pesquisa pesquisa
e e
extensão extensão
são ser
boas bom
na em_o
FATEC fatec
Zona zona
Sul sul
; ;
• •
incrementar incrementar
a o
política política
de de
divulgação divulgação
do de_o
vestibular vestibular
semestralmente semestralmente
, ,
sobretudo sobretudo
junto junto
à a_o
comunidades comunidade
carentes carente
para para
garantir garantir
acesso acesso
ao a_o
ensino ensino
superior alto
e e
inclusão inclusão
social social
; ;
• •
manter manter
a o
cultura cultura
de de
diálogo diálogo
e e
informação informação
entre entre
os o
funcionários funcionário
da de_o
unidade unidade
por por
meio meio
da de_o
qualidade qualidade
de de
vida vida
no em_o
trabalho trabalho
, ,
conversas conversa
diárias diário
e e
capacitações capacitação
institucionais institucional
; ;
• •
ampliar ampliar
a o
comunicação comunicação
com com
a o
comunidade comunidade
acadêmica acadêmico
via via
e-mails e-mails
, ,
redes rede
sociais social
e e
participação participação
da de_o
representação representação
discente discente
nos em_o
colegiados colegiado
da de_o
FATEC fatec
Zona zona
Sul sul
; ;
• •
aumentar aumentar
o o
número número
de de
parcerias parceria
institucionais institucional
com com
empresas empresa
que que
possam poder
oferecer oferecer
estágios estágio
; ;
• •
manter manter
e e
ampliar ampliar
o o
diálogo diálogo
no em_o
ambiente ambiente
universitário universitário
através através
do de_o
exemplo exemplo
dado dar
por por
professores professor
, ,
coordenadores coordenador
, ,
diretores diretor
e e
funcionários funcionário
da de_o
FATEC fatec
Zona zona
Sul sul
, ,
dando dar
exemplo exemplo
de de
ação ação
aos a_o
nossos nosso
alunos aluno
; ;
• •
ampliar ampliar
a o
capacitação capacitação
profissional profissional
dos de_o
funcionários funcionário
, ,
garantindo garantir
um um
bom bom
ambiente ambiente
de de
trabalho trabalho
que que
valorize valorizar
o o
diálogo diálogo
e e
negociação negociação
para para
solução solução
de de
conflitos conflito
; ;
• •
trocar trocar
mobiliário mobiliário
e e
computadores computador
mais mais
antigos antigo
nos em_o
laboratórios laboratório
, ,
substituir substituir
mesas mesa
e e
cadeiras cadeira
em em
sala sala
de de
aula aula
por por
cadeiras cadeira
universitárias universitário
que que
ocupam ocupar
menos pouco
espaço espaço
, ,
e e
trocar trocar
ventiladores ventilador
nas em_o
salas sala
de de
aula aula
e e
áreas área
administrativas administrativo
; ;
• •
adquirir adquirir
catracas catraca
eletrônicas eletrônico
para para
controle controle
de de
acesso acesso
dos de_o
alunos aluno
; ;
• •
pintar pintar
os o
ambientes ambiente
, ,
trocar trocar
os o
móveis móvel
e e
refazer refazer
os o
circuitos circuito
elétricos elétrico
da de_o
Secretaria secretaria
Acadêmica acadêmico
e e
Biblioteca biblioteca
, ,
para para
melhorar melhorar
as o
condições condição
de de
trabalho trabalho
ofertadas ofertar
à a_o
comunidade comunidade
acadêmica acadêmico
da de_o
FATEC fatec
Zona zona
Sul sul
. .
; ;
e e
• •
Instituir instituir
um um
programa programa
interno interno
de de
manutenção manutenção
preventiva preventivo
das de_o
instalações instalação
prediais predial
. .
