Infraestrutura infraestrutura
física físico
: :
A o
maioria maioria
dos de_o
alunos aluno
considera considerar
excelente excelente
ou ou
muito muito
boa bom
, ,
com com
destaque destaque
para para
alguns algum
pontos ponto
de de
atenção atenção
: :
horário horário
de de
atendimento atendimento
, ,
disponibilidade disponibilidade
de de
bibliográfica bibliográfico
, ,
qualidade qualidade
do de_o
acervo acervo
, ,
quantidade quantidade
, ,
mobiliário mobiliário
e e
equipamentos equipamento
, ,
espaço espaço
de de
convivência convivência
. .
