APONTAMENTO apontamento
DE de
SITUAÇÕES-PROBLEMA situações-problema
MAIS mais
RELEVANTES relevante
( (
" "
Escuta escuta
" "
) )
- -
Redução redução
da de_o
demanda demanda
do de_o
vestibular vestibular
da de_o
FATEC fatec
. .
- -
Falta falta
de de
manutenção manutenção
predial predial
. .
( (
Manutenção manutenção
na em_o
parede parede
que que
sustenta sustentar
a o
calha calha
da de_o
FATEC fatec
, ,
defeito defeito
no em_o
disjuntor disjuntor
de de
entrada entrada
da de_o
cabine cabine
primária primário
de de
energia energia
elétrica elétrico
. .
) )
- -
Evasão evasão
escolar escolar
e e
baixa baixo
taxa taxa
concluinte concluinte
. .
- -
Falta falta
de de
recurso recurso
para para
manutenção manutenção
dos de_o
equipamentos equipamento
de de
laboratórios laboratório
específicos específico
( (
robôs robô
, ,
sistemas sistema
de de
controle controle
, ,
kit kit
didático didático
de de
instrumentação instrumentação
) )
. .
Necessidade necessidade
de de
atualização atualização
dos de_o
laboratórios laboratório
da de_o
FATEC fatec
. .
- -
Falta falta
de de
professores professor
para para
as o
disciplinas disciplina
. .
( (
Maior grande
flexibilidade flexibilidade
para para
contratação contratação
) )
- -
Poucas pouco
as o
parcerias parceria
oficiais oficial
da de_o
FATEC fatec
com com
os o
empresas empresa
e e
órgãos órgão
públicos público
. .
- -
Falta falta
de de
equipamentos equipamento
de de
TI tu
( (
necessário necessário
melhorar melhorar
a o
infraestrutura infraestrutura
da de_o
internet internet
) )
e e
de de
mobiliários mobiliário
para para
sala sala
de de
aula aula
- -
Falta faltar
de de
espaço espaço
para para
confecção confecção
dos de_o
protótipos protótipo
de de
TCC tcc
' '
s s
, ,
atividades atividade
de de
iniciação iniciação
científica científico
e e
Inovação inovação
. .
Dificuldade dificuldade
de de
descarte descarte
de de
equipamentos equipamento
inutilizáveis inutilizável
, ,
componentes componente
do de_o
patrimônio patrimônio
. .
