POTENCIALIDADES potencialidade
85 85
% %
dos de_o
professores professor
afirmaram afirmar
que que
a o
comunicação comunicação
com com
a o
comunidade comunidade
externa externo
é ser
bem bem
sucedida suceder
Ampliar ampliar
a o
divulgação divulgação
de de
atividades atividade
que que
envolvam envolver
o o
professor professor
e e
que que
auxiliem auxiliar
nas em_o
devidas devido
divulgações divulgação
. .
85 85
% %
dos de_o
técnicos técnico
administrativos administrativo
afirmaram afirmar
que que
a o
comunicação comunicação
com com
a o
sociedade sociedade
é ser
realizada realizar
e e
eficaz eficaz
Envolver envolver
os o
funcionários funcionário
técnico-administrativos técnico-administrativo
para para
proposição proposição
de de
atividades atividade
com com
a o
sociedade sociedade
e e
auxilio auxiliar
da de_o
divulgação divulgação
Responsabilidade responsabilidade
Social social
( (
é ser
unânime unânime
: :
docentes docente
, ,
discentes discente
, ,
técnicos-administrativos técnicos-administrativo
, ,
reconhecem reconhecer
o o
trabalho trabalho
realizado realizar
pela por_o
Fatec fatec
São são
Caetano caetano
do de_o
Sul sul
. .
Ampliar ampliar
as o
ações ação
, ,
buscar buscar
parcerias parceria
, ,
inclusive inclusive
para para
desenvolvimento desenvolvimento
de de
extensão extensão
. .
