Dimensão dimensão
5 5
: :
Políticas política
de de
Pessoal pessoal
A o
FATEC fatec
Zona zona
Sul sul
atende atendar
às a_o
exigências exigência
da de_o
LDB ldb
, ,
pois pois
80 80
% %
de de
seus seu
docentes docente
são ser
mestres mestre
ou ou
doutores doutor
, ,
o o
que que
corresponde corresponder
a a
mais mais
de de
2 2
/ /
3 3
dos de_o
titulados titular
de de
portadores portador
dos de_o
títulos título
indicados indicar
. .
A o
pesquisa pesquisa
do de_o
WEBSAI websai
mostra mostrar
por por
meio meio
dos de_o
gráficos gráfico
supra suprir
que que
tanto tanto
funcionários funcionário
administrativos administrativo
quanto quanto
docentes docente
consideram considerar
excelentes excelente
as o
políticas política
de de
pessoal pessoal
tais tal
como como
vêm vir
sendo ser
implementadas implementar
. .
