Dimensão dimensão
4 4
: :
Comunicação comunicação
com com
a o
Sociedade sociedade
. .
Perfil perfil
Discente discente
: :
As o
Questões questão
7 7
e e
8 8
estão estar
vinculadas vincular
ao a_o
perfil perfil
dos de_o
Discentes discente
e e
tratam tratar
a o
qualidade qualidade
da de_o
comunicação comunicação
com com
a o
Sociedade sociedade
. .
Na em_o
questão questão
7 7
é ser
possível possível
notar notar
que que
63 63
, ,
39 39
% %
avaliaram avaliar
como como
" "
Excelente excelente
e e
Bom bom
" "
, ,
27 27
, ,
91 91
% %
como como
" "
Regular regular
" "
e e
8 8
, ,
70 70
% %
" "
Insuficiente insuficiente
" "
. .
Este este
resultado resultado
é ser
considerado considerar
positivo positivo
, ,
porém porém
a o
questão questão
pode poder
gerar gerar
distorções distorção
, ,
uma um
vez vez
que que
o o
acesso acesso
a a
tais tal
informações informação
é ser
realizado realizar
de de
maneiras maneira
e e
meios meio
diferentes diferente
. .
As o
Resoluções resolução
, ,
Normas norma
, ,
Legislação legislação
, ,
Planos planos
de de
Gestão gestão
são ser
disponibilizados disponibilizados
no em_o
site site
. .
Já já
os o
planos plano
de de
ensino ensino
, ,
planos plano
de de
aula aula
e e
calendários calendário
são ser
apresentados apresentar
pelos por_o
professores professor
e e
disponibilizados disponibilizados
no em_o
SIGA seguir
. .
Ou ou
seja ser
, ,
algumas algum
dessas de_esse
informações informação
são ser
apresentadas apresentar
de de
forma forma
passiva passivo
e e
outra outro
de de
forma forma
ativa ativo
. .
Além além
disso de_isso
, ,
a o
divulgação divulgação
e e
isponibilização isponibilização
são ser
feitas fazer
por por
atores ator
diferentes diferente
e e
em em
momentos momento
diferentes diferente
. .
Diante diante
do de_o
exposto exposto
, ,
os o
resultados resultado
desta de_este
questão questão
se se
transformarão transformar
em em
diferentes diferente
ações ação
de de
divulgação divulgação
. .
Na em_o
questão questão
8 8
, ,
que que
avalia avaliar
os o
canais canal
de de
comunicação comunicação
da de_o
Fatec fatec
Baixada baixar
Santista santista
, ,
57 57
, ,
96 @card@
% %
avaliaram avaliar
como como
" "
Excelente excelente
e e
Bom bom
" "
, ,
26 26
, ,
33 33
% %
" "
Regular regular
" "
, ,
14 14
, ,
12 12
% %
" "
Insuficiente insuficiente
" "
e e
apenas apenas
1 1
, ,
58 58
% %
" "
Não não
souberam saber
responder responder
" "
. .
