Comentários comentário
e e
Esclarecimentos esclarecimento
Adicionais adicional
quanto quanto
a a
Avaliação avaliação
das de_o
questões questão
com com
maior grande
número número
de de
erros erro
– -
FORMAÇÃO formação
ESPECÍFICA específico
: :
1 1
. .
A o
ocorrência ocorrência
do de_o
maior grande
número número
de de
erros erro
nas em_o
questões questão
de de
formação formação
específica específico
pode poder
ter ter
como como
uma um
das de_o
principais principal
causas causa
a a
falta falta
de de
visão visão
panorâmica panorâmico
do de_o
aluno aluno
como como
um um
todo todo
das de_o
disciplinas disciplina
ministradas ministrar
durante durante
todo todo
o o
curso curso
, ,
não não
sendo ser
capaz capaz
de de
estabelecer estabelecer
conexão conexão
entre entre
os o
diversos diversos
conteúdos conteúdo
, ,
o o
que que
dificulta dificultar
a o
análise análise
e e
utilização utilização
destes de_este
como como
ferramentas ferramenta
na em_o
solução solução
de de
problemas problema
, ,
de de
modo modo
que que
os o
professores professor
devem dever
chamar chamar
atenção atenção
dos de_o
alunos aluno
para para
a o
interdisciplinaridade interdisciplinaridade
, ,
demonstrando demonstrar
os o
conhecimentos conhecimento
que que
uma um
disciplina disciplina
oferece oferecer
como como
pré-requisitos pré-requisito
para para
a o
compreensão compreensão
dos de_o
conteúdos conteúdo
que que
são ser
abordados abordar
por por
outras outro
disciplinas disciplina
, ,
contribuindo contribuir
para para
o o
desenvolvimento desenvolvimento
de de
raciocínio raciocínio
lógico lógico
, ,
para para
aplicação aplicação
dos de_o
conteúdos conteúdo
teóricos teórico
em em
situações situação
concretas concreto
. .
