IV iv
. .
Biblioteca biblioteca
: :
a o
) )
Serviços serviços
prestados prestar
: :
399 @card@
cadastros cadastro
, ,
4895 @card@
frequentes frequente
, ,
1241 @card@
empréstimos empréstimo
, ,
365 @card@
renovações renovação
, ,
896 @card@
devoluções devolução
e e
321 @card@
livros livro
pendentes pendente
de de
devolução devolução
desde desde
entre entre
2018 @card@
e e
2022 @card@
. .
b b
) )
Aquisições aquisição
: :
19 19
títulos título
e e
72 72
exemplares exemplar
no em_o
valor valor
de de
R$ r$
13 13
. .
208 @card@
, ,
05 @card@
. .
c c
) )
Doações doação
: :
71 71
de de
professores professor
, ,
29 29
de de
alunos aluno
, ,
54 54
da de_o
comunidade comunidade
externa externo
e e
8 8
do de_o
Centro centro
Paula paula
Souza souza
. .
d d
) )
Livros livro
tombados tombar
: :
162 @card@
no em_o
total total
. .
e e
) )
Acervo acervo
geral geral
: :
( (
a a
) )
livros livro
: :
2688 @card@
livros livro
e e
10347 @card@
exemplares exemplar
, ,
( (
b b
) )
periódicos periódico
: :
462 @card@
títulos título
e e
1962 1962
exemplares exemplar
, ,
( (
c c
) )
trabalhos trabalho
de de
conclusão conclusão
de de
curso curso
: :
1258 @card@
títulos título
e e
exemplares exemplar
, ,
( (
d d
) )
dissertações dissertação
/ /
teses tese
: :
7 7
títulos título
e e
exemplares exemplar
. .
f f
) )
Infraestrutura infraestrutura
: :
cadeiras cadeira
de de
plástico plástico
foram ser
trocadas trocar
por por
estofadas estofar
, ,
a o
biblioteca biblioteca
recebeu receber
desktops desktops
mais mais
avançados avançar
para para
uso uso
dos de_o
alunos aluno
, ,
foram ser
instaladas instalar
novas novo
mesas mesa
na em_o
sala sala
de de
estudo estudo
e e
fixada fixar
um um
televisor televisor
de de
65 65
" "
na em_o
biblioteca biblioteca
para para
uso uso
dos de_o
alunos aluno
nas em_o
capacitações capacitação
que que
ocorrem ocorrer
no em_o
local local
. .
g g
) )
Recursos recursos
humanos humano
: :
foi ser
alocada alocar
mais mais
uma um
funcionária funcionário
na em_o
biblioteca biblioteca
para para
melhor bom
cobertura cobertura
de de
atendimento atendimento
ao a_o
público público
da de_o
comunidade comunidade
acadêmica acadêmico
local local
. .
