Estruturação estruturação
de de
proposta proposta
para para
atualização atualização
do de_o
PPC ppc
de de
Mecânica mecânico
Automobilística automobilístico
mediante mediante
a o
análise análise
dos de_o
conteúdos conteúdo
programáticos programático
das de_o
componentes componente
curriculares curricular
do de_o
curso curso
e e
construção construção
da de_o
nova novo
grade grade
curricular curricular
segundo segundo
as o
exigências exigência
mercadológicas mercadológico
Para para
atualização atualização
do de_o
PPC ppc
em em
virtude virtude
do de_o
avanço avanço
tecnológico tecnológico
na em_o
área área
e e
da de_o
crescente crescente
demanda demanda
por por
profissionais profissional
formados formar
com com
o o
perfil perfil
do de_o
egresso egresso
do de_o
curso curso
. .
