Comentários comentário
e e
Esclarecimentos esclarecimento
Adicionais adicional
quanto quanto
às a_o
respostas resposta
dos de_o
alunos aluno
ao a_o
Questionário questionário
da de_o
Pandemia pandemia
: :
Os o
resultados resultado
da de_o
prova prova
do de_o
ENADE enade
em em
relação relação
à a_o
pandemia pandemia
revelam revelar
a o
percepção percepção
dos de_o
estudantes estudante
sobre sobre
a o
transição transição
para para
o o
ensino ensino
não não
presencial presencial
e e
o o
impacto impacto
dessa de_esse
mudança mudança
em em
seu seu
processo processo
formativo formativo
. .
Em em
relação relação
à a_o
oferta oferta
rápida rápido
de de
aulas aula
não não
presenciais presencial
, ,
a o
maioria maioria
dos de_o
estudantes estudante
concorda concordar
com com
essa esse
afirmação afirmação
, ,
sendo ser
58 58
, ,
1 1
% %
concordando concordar
totalmente totalmente
e e
14 14
, ,
5 5
% %
concordando concordar
. .
Isso isso
indica indicar
que que
as o
instituições instituição
conseguiram conseguir
se se
adaptar adaptar
rapidamente rapidamente
às a_o
novas novo
demandas demanda
impostas impor
pela por_o
pandemia pandemia
. .
