ANÁLISE análise
DO de_o
CENÁRIO cenário
( (
Breve breve
diagnóstico diagnóstico
/ /
Baseline baseline
) )
O o
ABC abc
O o
Grande grande
ABC abc
está estar
inserido inserir
a a
sudeste sudeste
da de_o
Região região
Metropolitana metropolitana
de de
São são
Paulo paulo
e e
é ser
composto compor
por por
sete sete
municípios município
: :
Santo santo
André andré
, ,
São são
Bernardo bernardo
do de_o
Campo campo
, ,
São são
Caetano caetano
do de_o
Sul sul
, ,
Diadema diadema
, ,
Mauá mauá
, ,
Ribeirão ribeirão
Pires pires
e e
Rio rio
Grande grande
da de_o
Serra serra
. .
Mais mais
de de
2 2
, ,
7 7
milhões milhão
( (
IBGE ibge
/ /
2015 @card@
) )
de de
pessoas pessoa
habitam habitar
a o
região região
em em
uma um
área área
territorial territorial
de de
828 @card@
km² km²
( (
IBGE ibge
/ /
2015 @card@
) )
. .
A o
região região
é ser
especialmente especialmente
interligada interligar
, ,
a a
ponto ponto
de de
ser ser
difícil difícil
definir definir
suas seu
divisas divisa
terrestres terrestre
, ,
com com
muitas muito
ruas rua
e e
grandes grande
vias via
de de
alta alto
circulação circulação
. .
O o
Grande grande
ABC abc
ou ou
ABC abc
Paulista paulista
, ,
como como
também também
é ser
conhecido conhecido
, ,
está estar
localizado localizar
em em
um um
ponto ponto
privilegiado privilegiar
, ,
próximo próximo
ao a_o
Porto porto
de de
Santos santos
e e
à a_o
capital capital
, ,
além além
de de
possuir possuir
fácil fácil
acesso acesso
às a_o
rodovias rodovia
Anchieta anchieta
e e
Imigrantes imigrante
, ,
ao a_o
Rodoanel rodoanel
e e
à a_o
rede rede
ferroviária ferroviário
. .
