Adequação adequação
/ /
reestruturação reestruturação
de de
PPC ppc
, ,
implantação implantação
de de
novos novo
cursos curso
. .
O o
que que
será ser
feito fazer
: :
Estruturação estruturação
de de
proposta proposta
para para
atualização atualização
do de_o
PPC ppc
do de_o
curso curso
de de
Automação automação
Industrial industrial
mediante mediante
análise análise
dos de_o
conteúdos conteúdo
programáticos programático
dos de_o
componentes componente
curriculares curricular
do de_o
curso curso
e e
construção construção
da de_o
nova novo
grade grade
curricular curricular
segundo segundo
as o
exigências exigência
mercadológicas mercadológico
. .
Por por
que que
será ser
feito fazer
: :
Para para
atualização atualização
do de_o
projeto projeto
pedagógico pedagógico
do de_o
curso curso
em em
virtude virtude
do de_o
avanço avanço
tecnológico tecnológico
industrial industrial
. .
Situação situação
problema problema
: :
Metodologia metodologia
de de
ensino ensino
, ,
desempenho desempenho
de de
alunos aluno
, ,
evasão evasão
( (
a a
ser ser
resolvida resolver
/ /
mitigada mitigar
) )
