Monitoria monitoria
em em
disciplina disciplina
do de_o
curso curso
O o
que que
será ser
feito fazer
: :
Oferecimento oferecimento
de de
aulas aula
de de
reforço reforço
de de
matemática matemática
( (
pós pós
aula aula
manhã manhã
e e
pré-aula pré-aula
noite noite
) )
. .
Por por
que que
será ser
feito fazer
: :
Melhorar melhorar
os o
processos processo
de de
aprendizagem aprendizagem
e e
reduzir reduzir
a o
taxa taxa
de de
evasão evasão
Situação situação
problema problema
: :
Metodologia metodologia
de de
ensino ensino
, ,
desempenho desempenho
de de
alunos aluno
, ,
evasão evasão
( (
a a
ser ser
resolvida resolver
/ /
mitigada mitigar
) )
Gestão gestão
da de_o
unidade unidade
de de
ensino ensino
e e
dos de_o
cursos curso
( (
indicadores indicador
) )
