Analisando analisar
detidamente detidamente
as o
respostas resposta
dos de_o
discentes discente
, ,
embora embora
haja haver
grande grande
fragilidade fragilidade
no em_o
fato fato
de de
que que
62 62
% %
não não
conhece conhecer
o o
PDI pdi
, ,
destacam destacar
-se se
várias várias
potencialidades potencialidade
: :
reconhecimento reconhecimento
de de
que que
o o
planejamento planejamento
institucional institucional
ajuda ajudar
a a
promover promover
melhorias melhoria
na em_o
unidade unidade
, ,
sendo ser
o o
WEBSAI websai
um um
bom bom
instrumento instrumento
de de
avaliação avaliação
; ;
99 99
% %
dos de_o
discentes discente
afirmam afirmar
possuir possuir
desempenho desempenho
de de
regular regular
a a
ótimo bom
nas em_o
avaliações avaliação
, ,
e e
que que
possuem possuir
conhecimento conhecimento
básico básico
suficiente suficiente
para para
acompanhamento acompanhamento
das de_o
disciplinas disciplina
em em
geral geral
; ;
entre entre
80 80
e e
90 90
% %
dos de_o
alunos aluno
afirmam afirmar
que que
o o
tempo tempo
dedicado dedicar
aos a_o
estudos estudo
é ser
suficiente suficiente
para para
bom bom
desempenho desempenho
, ,
sendo ser
a o
frequência frequência
às a_o
aulas aula
boa bom
ou ou
ótima ótimo
e e
as o
atividades atividade
propostas propor
em em
sala sala
de de
aula aula
adequadas adequar
aos a_o
cursos curso
. .
