Esta este
obra obra
tem ter
um um
papel papel
no em_o
sistema sistema
logístico logístico
do de_o
Estado estado
de de
São são
Paulo paulo
e e
da de_o
Região região
Sudeste sudeste
, ,
aumentando aumentar
sua seu
atratividade atratividade
também também
para para
moradia moradia
, ,
com com
reflexos reflexo
na em_o
construção construção
civil civil
, ,
no em_o
desenvolvimento desenvolvimento
de de
atividades atividade
comerciais comercial
e e
de de
serviços serviço
, ,
devido devido
às a_o
facilidades facilidade
de de
acesso acesso
e e
deslocamento deslocamento
, ,
ou ou
seja ser
, ,
impulsionando impulsionar
ainda ainda
mais mais
a o
expansão expansão
urbana urbano
. .
Nesta em_este
mesma mesmo
época época
, ,
o o
número número
de de
empregos emprego
na em_o
construção construção
civil civil
na em_o
cidade cidade
chegou chegar
a a
duplicar duplicar
. .
E e
, ,
a a
partir partir
de de
2005 @card@
, ,
o o
número número
de de
empregos emprego
formais formal
no em_o
setor setor
de de
serviços serviço
cresceu crescer
de de
forma forma
bastante bastante
significativa significativo
, ,
ultrapassando ultrapassar
o o
número número
de de
empregos emprego
no em_o
setor setor
industrial industrial
. .
