Implantar implantar
um um
curso curso
AMS ams
em em
2024 @card@
. .
A a
– -
Articular articular
formas forma
de de
otimizar otimizar
a o
colocação colocação
/ /
contratação contratação
de de
docentes docente
para para
as o
disciplinas disciplina
sem sem
professor professor
O o
que que
será ser
feito fazer
: :
Estudar estudar
e e
articular articular
com com
o o
CESU cesu
Administrativo administrativo
, ,
estratégias estratégia
e e
ações ação
táticas tático
para para
otimizar otimizar
a o
colocação colocação
/ /
contratação contratação
de de
docentes docente
para para
as o
disciplinas disciplina
sem sem
professor professor
Por por
que que
será ser
feito fazer
: :
Será será
feiro feirar
para para
promover promover
a o
formação formação
adequada adequado
e e
com com
qualidade qualidade
para para
os o
alunos aluno
da de_o
FATEC-SBC fatec-sbc
, ,
diminuir diminuir
a o
evasão evasão
e e
aumentar aumentar
a o
taxa taxa
concluinte concluinte
. .
Objetivo objetivo
( (
s s
) )
relacionado relacionar
( (
s s
) )
: :
Atender atender
às a_o
demandas demanda
sociais social
e e
do de_o
mercado mercado
de de
trabalho trabalho
; ;
Alcançar alcançar
e e
manter manter
o o
grau grau
de de
excelência excelência
em em
seus seu
processos processo
de de
ensino ensino
e e
aprendizagem aprendizagem
; ;
Garantir garantir
celeridade celeridade
e e
efetividade efetividade
na em_o
prestação prestação
de de
serviços serviço
. .
Meta meta
( (
s s
) )
relacionada relacionar
( (
s s
) )
: :
Promover promover
ações ação
administrativas administrativo
e e
pedagógicas pedagógico
que que
proporcionem proporcionar
a o
redução redução
da de_o
taxa taxa
de de
evasão evasão
em em
5 5
% %
com com
relação relação
ao a_o
indicador indicador
de de
desempenho desempenho
de de
2022 @card@
, ,
no em_o
ano ano
de de
2023 @card@
. .
Ampliar ampliar
as o
inscrições inscrição
para para
o o
Vestibular vestibular
dos de_o
cursos curso
tecnológicos tecnológico
ofertados ofertar
em em
10 10
% %
. .
