Destaca destacar
-se se
o o
baixo baixo
percentual percentual
de de
alunos aluno
que que
consideram considerar
que que
as o
metodologias metodologia
empregadas empregar
no em_o
curso curso
desafiam desafiar
aprofundar aprofundar
conhecimentos conhecimento
e e
desenvolver desenvolver
competências competência
reflexivas reflexivo
e e
críticas crítico
, ,
o o
que que
também também
reforça reforçar
a o
necessidade necessidade
de de
trabalhar trabalhar
as o
disciplinas disciplina
considerando considerar
aspectos aspecto
relativos relativo
à a_o
ampliação ampliação
do de_o
conhecimento conhecimento
específico específico
, ,
discussão discussão
e e
interpretação interpretação
de de
textos texto
, ,
análise análise
gráfica gráfico
e e
da de_o
prática prática
por por
parte parte
dos de_o
docentes docente
de de
inserir inserir
atividades atividade
e e
questões questão
avaliativas avaliativo
no em_o
modelo modelo
ENADE enade
. .
