Comentários comentário
e e
Esclarecimentos esclarecimento
Adicionais adicional
quanto quanto
às a_o
respostas resposta
dos de_o
alunos aluno
ao a_o
Questionário questionário
de de
Percepção percepção
da de_o
Prova prova
: :
Após após
análise análise
minuciosa minucioso
dos de_o
microdados microdado
, ,
podemos poder
concluir concluir
que que
: :
✓ ✓
Do de_o
total total
de de
respondentes respondente
, ,
48 48
% %
responderam responder
que que
o o
grau grau
de de
dificuldade dificuldade
nas em_o
perguntas pergunta
de de
formação formação
geral geral
, ,
foi ser
difícil difícil
e e
43 43
% %
responderam responder
médio médio
. .
O o
número número
de de
erros erro
nestas em_este
questões questão
foi ser
expressivo expressivo
. .
✓ ✓
Do de_o
total total
de de
respondentes respondente
, ,
61 61
% %
responderam responder
que que
o o
grau grau
de de
dificuldade dificuldade
nas em_o
perguntas pergunta
de de
formação formação
específicas específico
, ,
foi ser
médio médio
. .
✓ ✓
Do de_o
total total
de de
respondentes respondente
, ,
19 19
% %
responderam responder
que que
poucos pouco
enunciados enunciado
foram ser
claros claro
e e
objetivos objetivo
; ;
somado somar
a a
estes este
, ,
temos ter
30 30
% %
que que
responderam responder
que que
nenhum nenhum
dos de_o
enunciados enunciado
foram ser
claros claro
e e
objetivos objetivo
nas em_o
questões questão
de de
formação formação
geral geral
. .
✓ ✓
Do de_o
total total
de de
respondentes respondente
, ,
76 76
% %
responderam responder
que que
poucos pouco
enunciados enunciado
se se
apresentaram apresentar
claros claro
e e
objetivos objetivo
; ;
somado somar
a a
estes este
, ,
temos ter
11 11
% %
que que
responderam responder
que que
nenhum nenhum
dos de_o
enunciados enunciado
se se
apresentaram apresentar
claros claro
e e
objetivos objetivo
nas em_o
questões questão
de de
formação formação
específica específico
. .
✓ ✓
Do de_o
total total
de de
respondentes respondente
, ,
59 59
% %
responderam responder
que que
tiveram ter
dificuldade dificuldade
( (
forma forma
diferente diferente
de de
abordagem abordagem
do de_o
conteúdo conteúdo
) )
nas em_o
questões questão
da de_o
prova prova
. .
✓ ✓
Do de_o
total total
de de
respondentes respondente
, ,
48 48
% %
responderam responder
que que
estudaram estudar
os o
conteúdos conteúdo
, ,
mas mas
não não
aprenderam aprender
. .
