PLANO plano
DE de
GESTÃO gestão
ANUAL anual
– -
PGA pga
Cotia cotio
está estar
localizada localizar
na em_o
região região
sudoeste sudoeste
do de_o
Estado estado
de de
São são
Paulo paulo
. .
É ser
um um
local local
estratégico estratégico
com com
intersecção intersecção
de de
duas dois
sub-regiões sub-regiões
com com
proximidade proximidade
no em_o
entorno entornar
do de_o
Rodoanel rodoanel
, ,
microrregião microrregião
de de
Itapecerica itapecerica
da de_o
Serra serra
( (
Cotia cotio
, ,
Taboão taboão
da de_o
Serra serra
, ,
Embu embu
das de_o
artes arte
, ,
Itapecerica itapecerica
da de_o
Serra serra
, ,
Vargem vargem
Grande grande
Paulista paulista
) )
e e
divisa divisa
com com
as o
cidades cidade
de de
Jandira jandira
, ,
Itapevi itapevi
, ,
Carapicuíba carapicuíba
, ,
Ibiúna ibiúna
. .
