Neste em_este
sentido sentido
, ,
a o
Fatec fatec
Cotia cotio
localiza localizar
-se se
em em
um um
dos de_o
municípios município
da de_o
Região região
Metropolitana metropolitana
de de
São são
Paulo paulo
( (
RMSP rmsp
) )
, ,
uma um
das de_o
maiores grande
e e
mais mais
importantes importante
do de_o
Brasil brasil
. .
A o
cidade cidade
tem ter
cerca cerca
de de
250 250
mil mil
habitantes habitante
( (
IBGE ibge
, ,
2019 @card@
) )
. .
É ser
, ,
ainda ainda
, ,
região região
de de
peso peso
na em_o
economia economia
nacional nacional
, ,
particularmente particularmente
, ,
nos em_o
setores setor
secundário secundário
e e
terciário terciário
. .
Segundo segundo
a o
Federação federação
das de_o
Indústrias indústria
de de
São são
Paulo paulo
( (
FIESP fiesp
) )
, ,
o o
estado estado
– -
liderado liderar
pela por_o
capital capital
, ,
região região
metropolitana metropolitano
e e
baixada baixar
santista santista
– -
é ser
hoje hoje
o o
maior grande
polo polo
de de
negócios negócio
da de_o
América américa
Latina latina
, ,
concentrando concentrar
30 30
% %
de de
todos todo
os o
investimentos investimento
privados privado
realizados realizar
em em
território território
nacional nacional
. .
São ser
155 155
mil mil
indústrias indústria
que que
representam representar
34 34
% %
do de_o
PIB pib
industrial industrial
brasileiro brasileiro
. .
