Considerando considerar
o o
tamanho tamanho
em em
relação relação
à a_o
quantidade quantidade
de de
alunos aluno
, ,
assim assim
como como
as o
condições condição
de de
iluminação iluminação
e e
conforto conforto
térmico térmico
( (
ventilação ventilação
ou ou
climatização climatização
) )
, ,
como como
você você
avalia avaliar
a o
condição condição
das de_o
salas sala
de de
aula aula
da de_o
unidade unidade
de de
ensino ensino
? ?
( (
administrativo administrativo
) )
- -
A o
avaliação avaliação
da de_o
infraestrutura infraestrutura
das de_o
salas sala
de de
aula aula
não não
foi ser
positiva positivo
junto junto
ao a_o
administrativo administrativo
, ,
no em_o
que que
tange tanger
a o
iluminação iluminação
e e
o o
conforto conforto
térmico térmico
das de_o
salas sala
de de
aula aula
. .
Para para
melhorar melhorar
este este
indicador indicador
, ,
a o
CPA cpa
sugere sugerir
: :
A o
solicitação solicitação
junto junto
ao a_o
CPS cps
de de
um um
maior grande
investimento investimento
na em_o
estrutura estrutura
da de_o
unidade unidade
. .
