Escalonando escalonar
cada cada
categoria categoria
75 75
% %
dos de_o
técnicos técnico
administrativos administrativo
consideram considerar
seu seu
conhecimento conhecimento
e e
cumprimento cumprimento
do de_o
PDI pdi
muito muito
bom bom
ou ou
bom bom
bem bem
como como
71 71
% %
dos de_o
docentes docente
. .
Dos de_o
discentes discente
, ,
32 32
% %
consideram considerar
seu seu
conhecimento conhecimento
e e
cumprimento cumprimento
do de_o
PDI pdi
muito muito
bom bom
ou ou
bom bom
, ,
28 28
% %
não não
sabem saber
responder responder
e e
25 25
% %
consideram considerar
regular regular
. .
Quando quando
analisamos analisar
a o
Dimensão dimensão
3 3
, ,
responsabilidade responsabilidade
social social
da de_o
IES ies
juntando juntar
todos todo
os o
pesquisados pesquisar
50 50
% %
consideram considerar
as o
ações ação
de de
responsabilidade responsabilidade
social social
da de_o
Unidade unidade
muito muito
boa bom
ou ou
boa bom
. .
