Concluímos concluir
que que
o o
aproveitamento aproveitamento
escolar escolar
do de_o
aluno aluno
durante durante
a o
pandemia pandemia
foi ser
bem bem
abaixo abaixo
do de_o
esperado esperar
e e
que que
mais mais
da de_o
metade metade
dos de_o
alunos aluno
, ,
pensaram pensar
em em
trancar trancar
ou ou
até até
desistir desistir
do de_o
curso curso
. .
Neste em_este
contexto contexto
, ,
a o
qualidade qualidade
também também
foi ser
afetada afetado
, ,
corroborando corroborar
com com
o o
estudo estudo
de de
( (
SAVIANI saviani
e e
GALVÃO galvão
, ,
2021 @card@
) )
. .
