Comentários comentário
e e
Esclarecimentos esclarecimento
Adicionais adicional
quanto quanto
às a_o
respostas resposta
dos de_o
alunos aluno
ao a_o
Questionário questionário
de de
Percepção percepção
da de_o
Prova prova
: :
A o
prova prova
do de_o
ENADE enade
apresentou apresentar
um um
grau grau
de de
dificuldade dificuldade
variado variar
em em
suas seu
diferentes diferente
partes parte
. .
Na em_o
parte parte
de de
Formação formação
Geral geral
, ,
60 60
, ,
7 7
% %
dos de_o
estudantes estudante
consideraram considerar
o o
grau grau
de de
dificuldade dificuldade
como como
médio médio
, ,
enquanto enquanto
23 23
, ,
2 2
% %
o o
classificaram classificar
como como
difícil difícil
. .
Apenas apenas
1 1
, ,
8 8
% %
dos de_o
participantes participante
a a
consideraram considerar
muito muito
difícil difícil
. .
Já já
na em_o
parte parte
de de
Componente componente
Específico específico
, ,
os o
resultados resultado
mostraram mostrar
que que
57 57
, ,
1 1
% %
dos de_o
estudantes estudante
avaliaram avaliar
o o
grau grau
de de
dificuldade dificuldade
como como
médio médio
, ,
enquanto enquanto
33 33
, ,
9 9
% %
o o
classificaram classificar
como como
difícil difícil
. .
