Merecem merecer
ser ser
salientadas salientar
as o
potencialidades potencialidade
apuradas apurar
: :
acima acima
de de
80 80
% %
dos de_o
alunos aluno
considera considerar
que que
há haver
estímulo estímulo
adequado adequado
para para
frequência frequência
no em_o
ambiente ambiente
da de_o
faculdade faculdade
, ,
que que
a o
resolução resolução
de de
conflitos conflito
é ser
baseada basear
na em_o
negociação negociação
e e
no em_o
diálogo diálogo
dentro dentro
da de_o
unidade unidade
, ,
que que
há haver
estímulo estímulo
e e
apoio apoio
ao a_o
desenvolvimento desenvolvimento
de de
situações situação
problema problema
e e
que que
a o
equipe equipe
da de_o
Direção direção
é ser
uma um
liderança liderança
capaz capaz
de de
coordenar coordenar
e e
levar levar
adiante adiante
ações ação
prioritárias prioritário
da de_o
Fatec fatec
Zona zona
Sul sul
; ;
acima acima
de de
96 @card@
% %
dos de_o
docentes docente
afirma afirmar
que que
o o
corpo corpo
técnico-administrativo técnico-administrativo
é ser
excelente excelente
ou ou
muito muito
bom bom
, ,
que que
a o
Direção direção
atua atuar
de de
maneira maneira
excelente excelente
ou ou
muito muito
boa bom
na em_o
resolução resolução
de de
conflitos conflito
na em_o
unidade unidade
, ,
e e
que que
a o
atuação atuação
dos de_o
colegiados colegiado
é ser
boa bom
; ;
a o
totalidade totalidade
dos de_o
funcionários funcionário
administrativos administrativo
considera considerar
a o
gestão gestão
da de_o
Fatec fatec
Zona zona
Sul sul
muito muito
boa bom
. .
