APONTAMENTO apontamento
DE de
SITUAÇÕES-PROBLEMA situações-problema
MAIS mais
RELEVANTES relevante
( (
" "
Escuta escuta
" "
) )
Imagem imagem
Institucional institucional
: :
Baixa baixo
Visibilidade visibilidade
da de_o
Fatec fatec
Ipiranga ipiranga
na em_o
região região
. .
Vestibular vestibular
: :
Baixa baixo
demanda demanda
, ,
Alta alta
taxa taxa
de de
inscrição inscrição
; ;
Não não
oferta oferta
de de
vagas vaga
pelo por_o
SISU sisu
Infraestrutura infraestrutura
de de
Recursos recursos
Tecnológicos tecnológico
: :
Defasagem defasagem
e e
quantidade quantidade
insuficiente insuficiente
de de
equipamentos equipamento
de de
T t
. .
I i
( (
computadores computador
, ,
roteadores roteador
, ,
switches switches
, ,
nobreak nobreak
, ,
servidores servidor
, ,
dispositivos dispositivo
sem sem
fios fio
, ,
cabos cabo
etc etc
. .
) )
. .
Baixa baixa
Velocidade velocidade
de de
Internet internet
. .
Gestão gestão
de de
Pessoas pessoa
: :
número número
insuficiente insuficiente
de de
funcionários funcionário
administrativos administrativo
e e
docentes docente
. .
Infraestrutura infraestrutura
Física física
: :
Necessidade necessidade
de de
reparo reparo
: :
instalações instalação
elétricas elétrico
, ,
hidráulicas hidráulico
e e
prediais predial
. .
Condição condição
térmica térmico
ruim ruim
. .
Aumento aumento
do de_o
índice índice
de de
trancamento trancamento
geral geral
e e
cancelamento cancelamento
. .
Infraestrutura infraestrutura
Pedagógica pedagógico
: :
Falta falta
de de
aquisição aquisição
de de
bibliografias bibliografia
para para
os o
novos novo
cursos curso
e e
atualização atualização
das de_o
bibliografias bibliografia
para para
os o
cursos curso
existentes existente
. .
Comunicação comunicação
Institucional institucional
: :
Desconhecimento desconhecimento
dos de_o
docentes docente
e e
discentes discente
dos de_o
programas programa
de de
Iniciação iniciação
Científica científico
, ,
Estágio estágio
, ,
Intercâmbios intercâmbio
e e
INOVA inovar
Paula paula
Souza souza
. .
