Atualmente atualmente
, ,
na em_o
Fatec fatec
São são
Caetano caetano
do de_o
Sul sul
– -
Antonio antonio
Russo russo
, ,
são ser
oferecidos oferecer
os o
seguintes seguinte
cursos curso
superiores alto
de de
tecnologia tecnologia
: :
Análise análise
e e
Desenvolvimento desenvolvimento
de de
Sistemas sistemas
, ,
nos em_o
turnos turno
matutino matutino
e e
vespertino vespertino
; ;
Articulação articulação
Médio-Técnico-Superior médio-técnico-superior
( (
AMS ams
) )
em em
Análise análise
e e
Desenvolvimento desenvolvimento
de de
Sistemas sistemas
e e
Comércio comércio
Exterior exterior
, ,
ambos ambos
no em_o
período período
da de_o
tarde tarde
; ;
Segurança segurança
da de_o
Informação informação
, ,
nos em_o
turnos turno
matutino matutino
e e
noturno noturno
; ;
Jogos jogo
Digitais digital
, ,
no em_o
período período
da de_o
noite noite
, ,
e e
Gestão gestão
Empresarial empresarial
na em_o
modalidade modalidade
à a_o
distância distância
. .
