Deste de_este
modo modo
, ,
considerando considerar
o o
contexto contexto
da de_o
Região região
do de_o
Grande grande
ABC abc
, ,
bem bem
como como
um um
rol rol
de de
políticas política
e e
programas programa
de de
apoio apoio
– -
Política política
Nacional nacional
de de
Ciência ciência
, ,
Tecnologia tecnologia
e e
Inovação inovação
2016-2019 @card@
, ,
Plano plano
Brasil brasil
Maior maior
, ,
Inova inovar
FINEP finep
, ,
Inovar inovar
Auto auto
do de_o
Ministério ministério
do de_o
Desenvolvimento desenvolvimento
, ,
Indústria indústria
e e
Comércio comércio
Exterior exterior
; ;
Agenda agenda
Tecnológica tecnológica
Setorial setorial
da de_o
Agência agência
Brasileira brasileira
de de
Desenvolvimento desenvolvimento
Industrial industrial
( (
ABDI abdi
) )
, ,
e e
um um
conjunto conjunto
de12 de12
setores setor
definidos definir
como como
estratégicos estratégico
pelo por_o
estado estado
de de
São são
Paulo paulo
( (
Investe investir
São são
Paulo paulo
) )
– -
chegou chegar
-se se
a a
um um
conjunto conjunto
de de
seis seis
áreas área
que que
se se
mostram mostrar
como como
promissoras promissor
, ,
sobretudo sobretudo
, ,
do de_o
ponto ponto
de de
vista vista
de de
sua seu
inserção inserção
em em
políticas política
de de
apoio apoio
. .
São ser
elas ele
: :
I i
- -
Oportunidades oportunidade
: :
Áreas área
Tecnológicas tecnológico
Estratégicas estratégicas
para para
o o
Ecossistema ecossistema
de de
Inovação inovação
do de_o
Grande grande
ABC abc
Lastreado lastrear
pela por_o
correlação correlação
dos de_o
levantamentos levantamento
a a
respeito respeito
das de_o
vocações vocação
, ,
potencias potenciar
e e
tendências tendência
, ,
este este
item item
destaca destacar
os o
setores setor
produtivo-tecnológicos produtivo-tecnológico
– -
compreendidos compreender
por por
esta este
consultoria consultoria
– -
como como
oportunidades oportunidade
, ,
ou ou
por por
assim assim
dizer dizer
, ,
áreas área
tecnológicas tecnológico
e e
de de
inovação inovação
estratégicas estratégico
para para
o o
Ecossistema ecossistema
de de
Inovação inovação
do de_o
Grande grande
ABC abc
. .
Estas este
oportunidades oportunidade
são ser
representadas representar
por por
seis seis
áreas área
: :
automobilística automobilístico
; ;
química química
petroquímica petroquímico
; ;
complexo complexo
industrial industrial
da de_o
saúde saúde
; ;
tecnologia tecnologia
da de_o
informação informação
e e
comunicação comunicação
; ;
materiais material
avançados avançar
e e
indústria indústria
4 4
. .
0 0
. .
