Jornada jornada
/ /
Evento evento
/ /
Revista revista
Científico científico
e e
Tecnológico tecnológico
O o
que que
será ser
feito fazer
: :
Propiciar propiciar
aos a_o
alunos aluno
o o
desenvolvimento desenvolvimento
de de
pesquisas pesquisa
individuais individual
e e
a o
criação criação
colaborativa colaborativo
de de
um um
jogo jogo
digital digital
. .
Por por
que que
será ser
feito fazer
: :
Desenvolver desenvolver
a o
capacidade capacidade
de de
pesquisa pesquisa
, ,
metodologias metodologia
teórico-práticas teórico-prático
voltadas voltar
a o
criação criação
de de
games game
– -
DramaTech dramatech
: :
Games game
narrativas narrativo
e e
tecnologia tecnologia
. .
Situação situação
problema problema
: :
Metodologia metodologia
de de
ensino ensino
, ,
desempenho desempenho
de de
alunos aluno
, ,
evasão evasão
( (
a a
ser ser
resolvida resolver
/ /
mitigada mitigar
) )
Comunicação comunicação
com com
a o
comunidade comunidade
acadêmica acadêmico
Situação situação
problema problema
: :
Metodologia metodologia
de de
ensino ensino
, ,
desempenho desempenho
de de
alunos aluno
, ,
evasão evasão
( (
a a
ser ser
resolvida resolver
/ /
mitigada mitigar
) )
