Parcerias parceria
- -
Em em
março março
de de
2022 @card@
, ,
aconteceu acontecer
reunião reunião
de de
para para
uma um
maior grande
sinergia sinergia
entre entre
a o
Fatec fatec
São são
Caetano caetano
do de_o
Sul sul
- -
Antônio antônio
Russo russo
, ,
Coalizão coalizão
digital digital
do de_o
ABC abc
, ,
parque parque
tecnológico tecnológico
SA sa
, ,
ABC abc
Valley valley
e e
o o
SEBRAE sebrae
. .
- -
SAMU samu
: :
curso curso
de de
treinamento treinamento
para para
funcionários funcionário
( (
19 19
/ /
04 @card@
/ /
2022 @card@
) )
. .
Estamos estar
em em
andamento andamento
com com
convênio convênio
com com
a o
Secretaria secretaria
Municipal municipal
de de
Saúde saúde
para para
projetos projeto
com com
o o
SAMU samu
. .
- -
Receita receita
Federal federal
: :
assinatura assinatura
de de
convênio convênio
para para
implantação implantação
do de_o
NAF naf
( (
Núcleo núcleo
de de
Atendimento atendimento
Financeiro financeiro
) )
que que
terá ter
a o
participação participação
dos de_o
alunos aluno
de de
Comércio comércio
Exterior exterior
. .
- -
NUBE nube
: :
Ação ação
presencial presencial
para para
cadastramento cadastramento
de de
vagas vaga
( (
09 @card@
/ /
06 @card@
/ /
2022 @card@
) )
- -
Conexão conexão
Brasil-França brasil-frança
: :
encontro encontro
online online
com com
a o
universidade universidade
francesa francês
Université université
Grenoble grenoble
Alpes alpes
sobre sobre
pesquisa pesquisa
acadêmica acadêmico
com com
o o
uso uso
de de
Jogos jogo
Digitais digital
. .
- -
Toeic toeic
: :
Aplicação aplicação
do de_o
exame exame
por por
professores professor
credenciados credenciar
, ,
oferecido oferecer
aos a_o
alunos aluno
de de
5º 5º
e e
6º 6º
semestres semestre
de de
todos todo
os o
cursos curso
. .
- -
Visita visita
Técnica técnico
à a_o
Wilson wilson
Sons som
, ,
Logística logístico
: :
As o
visitas visita
técnicas técnico
realizadas realizar
com com
os o
estudantes estudante
de de
2º 2º
a a
6º 6º
semestre semestre
do de_o
curso curso
de de
Comércio comércio
Exterior exterior
da de_o
FATEC fatec
São são
Caetano caetano
do de_o
Sul sul
– -
Antonio antonio
Russo russo
ao a_o
Centro centro
de de
Distribuição distribuição
( (
CD cd
) )
da de_o
Wilson wilson
, ,
Sons som
Logística logístico
, ,
nos em_o
dias dia
11 11
de de
agosto agosto
, ,
e e
8 8
e e
9 9
de de
setembro setembro
de de
2022 @card@
, ,
os o
estudantes estudante
puderam poder
verificar verificar
na em_o
prática prática
não não
só só
a o
integração integração
das de_o
disciplinas disciplina
de de
Logística logístico
Aplicada aplicado
, ,
Logística logístico
Internacional internacional
e e
Modais modal
de de
Transporte transporte
e e
Seguro seguro
de de
Carga carga
, ,
como como
também também
as o
demais demais
disciplinas disciplina
do de_o
curso curso
que que
tratam tratar
de de
questões questão
estratégicas estratégico
e e
legais legal
voltadas voltar
ao a_o
comércio comércio
exterior exterior
. .
- -
Visita visita
Técnica técnico
ao a_o
evento evento
Movimat movimat
/ /
FENATRAN fenatran
: :
No em_o
dia dia
8 8
de de
novembro novembro
de de
2022 @card@
, ,
foi ser
realizada realizar
uma um
visita visita
técnica técnico
ao a_o
evento evento
Movimant movimant
/ /
FENATRAN fenatran
com com
alunos aluno
do de_o
3º 3º
. .
e e
6º 6º
semestres semestre
do de_o
curso curso
de de
Comércio comércio
Exterior exterior
. .
