Dentre dentrar
as o
principais principal
ações ação
advindas advir
desse de_esse
processo processo
, ,
podemos poder
salientar salientar
: :
• •
planejar planejar
reuniões reunião
de de
apresentação apresentação
do de_o
PDI pdi
aos a_o
discentes discente
e e
divulgar divulgar
material material
simplificado simplificar
no em_o
site site
e e
murais mural
da de_o
unidade unidade
; ;
• •
ampliar ampliar
os o
cursos curso
de de
nivelamento nivelamento
, ,
reforço reforço
e e
recuperação recuperação
de de
disciplinas disciplina
em em
que que
os o
alunos aluno
possuem possuir
maior grande
dificuldade dificuldade
de de
aprendizagem aprendizagem
ou ou
deficiência deficiência
advindas advindas
do de_o
Ensino ensino
Médio médio
; ;
• •
promover promover
ações ação
incentivadoras incentivador
aos a_o
discentes discente
pelos por_o
docentes docente
com com
utilização utilização
de de
metodologias metodologia
ativas ativo
, ,
para para
majorar majorar
a o
participação participação
dos de_o
discentes discente
durante durante
as o
aulas aula
; ;
• •
convidar convidar
a o
comunidade comunidade
externa externo
, ,
por por
meio meio
de de
seus seu
líderes líder
, ,
a a
participar participar
de de
eventos evento
na em_o
unidade unidade
, ,
com com
ampla amplo
divulgação divulgação
; ;
• •
promover promover
o o
ambiente ambiente
de de
diálogo diálogo
, ,
negociação negociação
e e
respeito respeito
à a_o
opinião opinião
diversa diverso
nos em_o
ambientes ambiente
acadêmicos acadêmico
, ,
como como
sala sala
de de
aula aula
, ,
biblioteca biblioteca
, ,
locais local
de de
atendimento atendimento
aos a_o
alunos aluno
e e
nas em_o
relações relação
hierárquicas hierárquico
do de_o
tipo tipo
" "
botton botton
up up
" "
; ;
• •
aumentar aumentar
o o
número número
de de
parcerias parceria
para para
estágios estágio
na em_o
faculdade faculdade
e e
adequar adequar
os o
conteúdos conteúdo
ministrados ministrar
em em
sala sala
de de
aula aula
às a_o
necessidades necessidade
do de_o
mercado mercado
de de
trabalho trabalho
atual atual
; ;
• •
ampliar ampliar
a o
política política
de de
divulgação divulgação
do de_o
vestibular vestibular
semestralmente semestralmente
, ,
junto junto
às a_o
comunidades comunidade
carentes carente
para para
garantir garantir
acesso acesso
ao a_o
ensino ensino
superior alto
e e
inclusão inclusão
social social
; ;
• •
aumentar aumentar
o o
número número
de de
vagas vaga
oferecidas oferecer
à a_o
iniciação iniciação
científica científico
via via
programa programa
de de
monitoria monitoria
do de_o
Centro centro
Paula paula
Souza souza
; ;
• •
ampliar ampliar
o o
diálogo diálogo
no em_o
ambiente ambiente
acadêmico acadêmico
por por
meio meio
do de_o
exemplo exemplo
dado dar
por por
professores professor
, ,
coordenadores coordenador
, ,
diretores diretor
e e
funcionários funcionário
, ,
para para
que que
a o
prática prática
diária diário
se se
capilarize capilarize
entre entre
todos todo
os o
membros membro
da de_o
comunidade comunidade
; ;
• •
solicitar solicitar
ao a_o
Centro centro
Paula paula
Souza souza
o o
aumento aumento
da de_o
banda banda
de de
internet internet
na em_o
unidade unidade
; ;
e e
• •
instituir instituir
um um
programa programa
de de
manutenção manutenção
preventiva preventivo
das de_o
instalações instalação
prediais predial
. .
