Bens bem
e e
Serviços serviços
: :
Conforme conforme
solicitado solicitar
no em_o
PDI pdi
– -
Plano plano
de de
Desenvolvimento desenvolvimento
Institucional institucional
a a
FATEC-Zona fatec-zona
Sul sul
recebeu receber
os o
equipamentos equipamento
solicitados solicitado
, ,
além além
de de
novos novo
computadores computador
, ,
impressoras impressora
e e
equipamentos equipamento
como como
televisores televisor
, ,
computadores computador
de de
mesa mesa
, ,
notebooks notebook
e e
periféricos periférico
para para
melhoria melhoria
dos de_o
serviços serviço
prestados prestar
à a_o
comunidade comunidade
acadêmica acadêmico
. .
