Transformar transformar
e e
adequar adequar
a o
Revista revista
Conecta conectar
em em
um um
periódico periódico
científico científico
com com
projeção projeção
nacional nacional
. .
Revisão revisão
gramatical gramatical
/ /
linguística linguístico
( (
gramática gramático
e e
ortografia ortografia
) )
dos de_o
artigos artigo
submetidos submeter
à a_o
Revista revista
Conecta conectar
da de_o
Fatec fatec
Rubens rubens
Lara lara
. .
O o
projeto projeto
visa visar
melhorar melhorar
a o
clareza clareza
, ,
a o
coesão coesão
e e
a o
coerência coerência
dos de_o
trabalhos trabalho
apresentados apresentar
. .
situação-problema situação-problema
: :
Metodologia metodologia
de de
ensino ensino
, ,
desempenho desempenho
de de
alunos aluno
, ,
evasão evasão
Participação participação
da de_o
comunidade comunidade
e e
sociedade sociedade
