Visita visita
a a
empresas empresa
e e
escolas escola
de de
ensino ensino
médio médio
da de_o
região região
do de_o
ABCD abcd
e e
região região
Sul sul
e e
promover promover
as o
redes rede
sociais social
da de_o
Unidade unidade
para para
Melhorar melhorar
a o
visibilidade visibilidade
da de_o
Instituição instituição
de de
ensino ensino
na em_o
região região
, ,
aumentar aumentar
a o
demanda demanda
do de_o
vestibular vestibular
e e
a o
competitividade competitividade
dos de_o
cursos curso
. .
Oferecimento oferecimento
de de
aulas aula
de de
reforço reforço
de de
matemática matemática
( (
pós pós
aula aula
manhã manhã
e e
pré-aula pré-aula
noite noite
) )
para para
Melhorar melhorar
os o
processos processo
de de
aprendizagem aprendizagem
e e
reduzir reduzir
a o
taxa taxa
de de
evasão evasão
Oferecimento oferecimento
de de
monitoria monitoria
de de
Química química
para para
Melhorar melhorar
os o
processos processo
de de
aprendizagem aprendizagem
e e
reduzir reduzir
a o
taxa taxa
de de
evasão evasão
situação-problema situação-problema
: :
Metodologia metodologia
de de
ensino ensino
, ,
desempenho desempenho
de de
alunos aluno
, ,
evasão evasão
Participação participação
da de_o
comunidade comunidade
e e
sociedade sociedade
