MOSTRAS mostra
DE de
VÍDEOS vídeo
DO de_o
CURSO curso
DE de
EVENTOS evento
O o
que que
será ser
feito fazer
: :
XII xii
Projeto projeto
Identidades identidade
e e
XXI xxi
Mostra mostrar
de de
Vídeos vídeo
Por por
que que
será ser
feito fazer
: :
Para para
divulgação divulgação
da de_o
imagem imagem
de de
excelência excelência
dos de_o
Projetos projeto
Integradores integrador
II ii
e e
VI vi
para para
as o
comunidades comunidade
interna interno
e e
externa externo
. .
Objetivo objetivo
( (
s s
) )
relacionado relacionar
( (
s s
) )
: :
Atender atender
às a_o
demandas demanda
sociais social
e e
do de_o
mercado mercado
de de
trabalho trabalho
. .
Obter obter
a o
satisfação satisfação
dos de_o
públicos público
que que
se se
relacionam relacionar
com com
o o
Centro centro
Paula paula
Souza souza
( (
stakeholders stakeholders
) )
. .
Alcançar alcançar
e e
manter manter
o o
grau grau
de de
excelência excelência
em em
seus seu
processos processo
de de
ensino ensino
e e
aprendizagem aprendizagem
. .
Formar formar
profissionais profissional
atualizados atualizar
em em
tecnologias tecnologia
e e
processos processo
produtivos produtivo
, ,
capazes capaz
de de
atuar atuar
no em_o
desenvolvimento desenvolvimento
tecnológico tecnológico
e e
inovação inovação
. .
Meta meta
( (
s s
) )
relacionada relacionar
( (
s s
) )
: :
Ampliar ampliar
a o
participação participação
dos de_o
discentes discente
nos em_o
eventos evento
de de
seus seu
respectivos respectivo
cursos curso
ou ou
em em
eventos evento
gerais geral
da de_o
unidade unidade
em em
10 10
% %
de de
modo modo
a a
desenvolver desenvolver
o o
sentimento sentimento
de de
pertencimento pertencimento
a o
unidade unidade
. .
Desenvolver desenvolver
mensalmente mensalmente
ações ação
/ /
serviços serviço
que que
reforcem reforçar
a o
imagem imagem
institucional institucional
da de_o
unidade unidade
junto junto
à a_o
comunidade comunidade
acadêmica acadêmico
. .
Promover promover
ações ação
administrativas administrativo
e e
pedagógicas pedagógico
que que
proporcionem proporcionar
a o
redução redução
da de_o
taxa taxa
de de
evasão evasão
e e
trancamento trancamento
em em
5 5
% %
com com
relação relação
ao a_o
indicador indicador
de de
desempenho desempenho
de de
2022 @card@
, ,
no em_o
ano ano
de de
2023 @card@
