Comentários comentário
e e
Esclarecimentos esclarecimento
Adicionais adicional
quanto quanto
a a
Avaliação avaliação
das de_o
questões questão
com com
maior grande
número número
de de
erros erro
– -
FORMAÇÃO formação
GERAL geral
: :
1 1
. .
As o
questões questão
de de
formação formação
geral geral
buscam buscar
avaliar avaliar
aspectos aspecto
como como
clareza clareza
, ,
coerência coerência
, ,
coesão coesão
, ,
estratégias estratégia
argumentativas argumentativo
, ,
vocabulário vocabulário
e e
gramática gramático
adequadas adequado
à a_o
norma norma
padrão padrão
da de_o
língua língua
portuguesa português
, ,
de de
modo modo
que que
, ,
considerando considerar
a o
educação educação
como como
um um
processo processo
, ,
buscar buscar
-se-á -se-á
contribuir contribuir
para para
que que
os o
alunos aluno
conheçam conhecer
melhor melhor
as o
questões questão
do de_o
ENADE enade
, ,
numa em_um
perspectiva perspectiva
de de
aperfeiçoamento aperfeiçoamento
permanente permanente
. .
