Comentários comentário
e e
Esclarecimentos esclarecimento
Adicionais adicional
quanto quanto
às a_o
respostas resposta
dos de_o
alunos aluno
ao a_o
Questionário questionário
do de_o
Estudante estudante
: :
Importante importante
ressaltar ressaltar
que que
na em_o
avaliação avaliação
do de_o
questionário questionário
do de_o
estudante estudante
, ,
não não
houve haver
nenhuma nenhum
questão questão
sem sem
resposta resposta
ou ou
com com
múltiplas múltiplo
respostas resposta
que que
comprova comprovar
o o
comprometimento comprometimento
e e
responsabilidade responsabilidade
dos de_o
alunos aluno
. .
Em em
relação relação
à a_o
contribuição contribuição
das de_o
disciplinas disciplina
cursadas cursar
para para
a o
formação formação
integral integral
como como
cidadão cidadão
e e
profissional profissional
, ,
a o
maioria maioria
dos de_o
estudantes estudante
concorda concordar
com com
essa esse
afirmação afirmação
, ,
sendo ser
47 47
, ,
5 5
% %
concordando concordar
totalmente totalmente
e e
29 29
, ,
5 5
% %
concordando concordar
. .
