Assim assim
, ,
há haver
uma um
difícil difícil
tarefa tarefa
de de
atender atender
os o
componentes componente
do de_o
Edital edital
Enade enade
e e
ao a_o
mesmo mesmo
tempo tempo
, ,
manter manter
uma um
grade grade
atualizada atualizar
e e
robusta robusto
que que
atenda atender
as o
expectativas expectativa
do de_o
mercado mercado
de de
trabalho trabalho
; ;
e e
por por
muitas muito
vezes vez
essas esse
duas dois
frentes frente
– -
INEP inep
/ /
ENADE enade
e e
Mercado mercado
de de
Trabalho trabalho
– -
não não
compactuam compactuar
dos de_o
mesmos mesmo
interesses interesse
curriculares curricular
; ;
e e
a o
IES ies
fica ficar
" "
dividida dividido
" "
sobre sobre
o o
que que
atender atender
com com
maior grande
ênfase ênfase
, ,
visto visto
que que
existe existir
uma um
carga carga
horária horário
e e
uma um
matriz matriz
curricular curricular
a a
cumprir cumprir
. .
