Ações ação
pedagógicas pedagógico
: :
visitas visita
técnicas técnico
, ,
projetos projeto
integradores integrador
/ /
interdisciplinares interdisciplinar
, ,
dias dia
de de
campo campo
, ,
feira feira
das de_o
profissões profissão
, ,
cursos curso
extracurriculares extracurricular
para para
alunos aluno
. .
O o
que que
será ser
feito fazer
: :
01- @card@
Inglês inglês
para para
a o
comunidade comunidade
02- @card@
Legendagem legendagem
03- @card@
Conversação conversação
para para
grupos grupo
avançados avançar
04- @card@
Laboratório laboratório
de de
línguas língua
para para
alunos aluno
regulares regular
da de_o
fatec fatec
. .
05- @card@
Preparatório preparatório
para para
testes teste
de de
proficiência proficiência
Por por
que que
será ser
feito fazer
: :
01- @card@
Diminuir diminuir
a o
evasão evasão
discente discente
02- @card@
Manutenção manutenção
dos de_o
alunos aluno
regulares regular
nos em_o
cursos curso
03- @card@
Engajamento engajamento
da de_o
comunidade comunidade
dentro dentro
da de_o
Fatec fatec
( (
o o
inglês inglês
como como
ferramenta ferramenta
para para
auxiliar auxiliar
a o
comunidade comunidade
na em_o
busca busca
por por
melhores bom
vagas vaga
de de
emprego emprego
, ,
no em_o
mercado mercado
de de
trabalho trabalho
, ,
e e
participação participação
ativa ativo
da de_o
comunidade comunidade
em em
assuntos assunto
de de
relevância relevância
intelectual intelectual
, ,
cultural cultural
, ,
etc etc
. .
) )
04- @card@
Investimento investimento
na em_o
melhora melhora
do de_o
uso uso
de de
língua língua
estrangeira estrangeiro
pelo por_o
aluno aluno
, ,
que que
está estar
em em
busca busca
de de
bons bom
empregos emprego
, ,
em em
um um
mercado mercado
, ,
que que
exige exigir
a o
língua língua
estrangeira estrangeiro
no em_o
processo processo
de de
seleção seleção
e e
contratação contratação
do de_o
futuro futuro
profissional profissional
da de_o
área área
de de
TI tu
. .
Situação situação
problema problema
: :
Metodologia metodologia
de de
ensino ensino
, ,
desempenho desempenho
de de
alunos aluno
, ,
evasão evasão
( (
a a
ser ser
resolvida resolver
/ /
mitigada mitigar
) )
Participação participação
da de_o
comunidade comunidade
e e
sociedade sociedade
