Características característica
do de_o
município município
: :
a o
. .
Possui possuir
uma um
população população
estimada estimar
em em
249 @card@
. .
210 210
mil mil
habitantes habitante
( (
IBGE ibge
, ,
2019 @card@
) )
, ,
ocupando ocupar
uma um
área área
de de
323 323
, ,
99 99
Km2 km2
, ,
e e
densidade densidade
populacional populacional
de de
763 @card@
, ,
68 68
habitantes habitante
/ /
Km2 km2
( (
SEADE seade
, ,
2020 @card@
) )
; ;
b b
. .
Possui possuir
um um
amplo amplo
público-alvo público-alvo
para para
os o
cursos curso
da de_o
unidade unidade
, ,
correspondentes correspondente
a a
87 87
. .
775 @card@
habitantes habitante
com com
idade idade
entre entre
15 15
a a
39 39
anos ano
( (
IBGE ibge
, ,
2019 @card@
) )
, ,
considerando considerar
aqueles aquele
que que
concluirão concluir
o o
ensino ensino
médio médio
e e
os o
que que
já já
estão estar
no em_o
mercado mercado
profissional profissional
e e
necessitam necessitar
dos de_o
conhecimentos conhecimento
e e
competências competência
profissionais profissional
fundamentadas fundamentar
na em_o
ciência ciência
, ,
na em_o
cultura cultura
e e
na em_o
ética ética
, ,
para para
o o
completo completo
desempenho desempenho
profissional profissional
; ;
c c
. .
Tem ter
proximidade proximidade
com com
a o
grande grande
São são
Paulo paulo
( (
público-alvo público-alvo
com com
mais mais
de de
12 12
milhões milhão
de de
habitantes habitante
) )
; ;
d d
. .
Encontra encontrar
-se se
em em
área área
de de
transbordo transbordo
e e
de de
fracionamento fracionamento
logístico logístico
de de
carga carga
junto junto
ao a_o
Rodoanel rodoanel
. .
